Unnamed: 0,No,Publication,Authors,Year,Type of paper,Journal,Type of study,Pre-prints,DOI,Used?,Partially?,Method,Hybridisation,"1. Objectives (purpose, model outputs, aims of experimentation)","2. Logic (base model overview diagram, base model logic, scenario logic, algorithms, components)","3. Data (data sources, input parameters, preprocessing, assumptions","4. Experimentation (initialisation, run length, estimation approach)","5. Implementation (software and programming language, random sampling, model execution, system specification)",6. Code access (computer model sharing statement),Source code access,Software,Application area,Case study,Note,Appendix,Questions to be asked from authors / experts,...27,Fatemeh's Note
142,142,Modelling Busyness-Using discrete event simulation and soft systems methodology to create a multimethod decision support tool for Radiology,"Conlon, Mary M.",2021.0,Thesis,National University of Irland,PhD Thesis,No,https://researchrepository.universityofgalway.ie/server/api/core/bitstreams/efd0556e-e927-4b5e-82fc-27d129cb303d/content,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,No,,Anylogic,Healthcare,CT service and staff workload,,,,,
143,143,A framework for communicating the utility of models when facing tough decisions in public health,"Thompson, J., McClure, R., Scott, N., Hellard, M., Abeysuriya, R., Vidinaarachichi, R., Thwaites, J., Lazarus, J.V., Michie, S., Bullen, C.R. and Prokopenko, M.",2021.0,Preprint,OSF,Conceptual,Yes,https://doi.org/10.31235/osf.io/2duk5,No,,,,,,,,,,,,,,,,,,
144,144,Understanding the impact of social networks on the spread of obesity,"Tuson, Mark, Paul Harper, Daniel Gartner, and Doris Behrens",2023.0,Journal,International Journal of Environmental Research and Public Health,Empirical,No,https://doi.org/10.3390/ijerph20156451,No,,,,,,,,,,,,,,"There is no sign of referencing STRESS article, not in the reference list not in the content of the paper",,,,
145,145,Potential and Challenges of Assurance Cases for Simulation Validation,"Wilsdorf, Pia, Steffen Zschaler, Fiete Haack, and Adelinde Uhrmacher",2024.0,Conference,Winter Simulation Conference,Conceptual,No,,DP,,,,,,,,,,,,,,,,,,
146,146,Intended and unintended consequences of strategies to meet performance benchmarks for rheumatologist referrals in a centralized intake system,"Patel, Jatin, and Diane P. Mosher",,Journal,Journal of Evaluation in Clinical Practice,Empirical,No,,DP,,,,,,,,,,,,,,,,,,
147,147,Mapping and Describing Geospatial Data to Generalize Complex Mapping and Describing Geospatial Data to Generalize Complex Models: The Case of LittoSIM-GEN Models,"Laatabi, Ahmed, Nicolas Becu, Nicolas Marilleau, Cécilia Pignon-Mussaud, Marion Amalric, Xavier Bertin, Brice Anselme, and Elise Beck",2021.0,Preprint,arXiv,Empirical,Yes,https://doi.org/10.48550/arXiv.2101.07523,No,,,,,,,,,,,,,,,,,,
148,148,"Discrete Event Simulation Model Performed with Data 
Analytics for a Call Center Optimization","Serper, Nisan, Elifen, and Banu Cal",2021.0,Journal,Istanbul Business Research,Empirical,No,https://www.academia.edu/download/89940670/A38025C38B864AF084A7270F0501FC6E.pdf,Yes,,DES,,Purpose,"Base model overview, scenario logic, components",Yes,Yes,Yes,No,,Arena,Call centre,,,,,,
149,149,Levels of Open Science for Empirical Research Using Software: A Proposal,"Taylor, Simon JE, Anastasia Anagnostou, Tom Monks, Alison Harper, and Michael Allen",,,,Discussion,No,https://www.academia.edu/download/87287807/Levels_20of_20Open_20Science_20for_20Empirical_20Research_20Using_20Software.pdf,No,,,,,,,,,,,,,,,,,,
150,150,Archeologia predittiva e simulativa. Un approccio analitico e applicativo a predictive e Agent-Based modelling,"Burigana, Laura",2022.0,,,,No,https://www.research.unipd.it/bitstream/11577/3460020/2/Tesi_LB_def.pdf,,,,,,,,,,,,,,,,,,,
151,151,Not in English,"Gomes, Ana Francisca Teixeira",2023.0,,,,No,https://repositorio.ufrn.br/bitstream/123456789/52690/1/Estudoinsilicoalvos_Gomes_2023.pdf,,,,,,,,,,,,,,,,,,,
152,152,Not in English,Not in English,2023.0,,,,No,https://nardus.mpn.gov.rs/bitstream/handle/123456789/22556/Disertacija_15710.pdf?sequence=1,,,,,,,,,,,,,,,,,,,
153,153,Not in English,Not in English,2022.0,,,,No,https://elibrary.ru/download/elibrary_48523351_49370553.pdf,,,,,,,,,,,,,,,,,,,
154,154,Dairy Supply Chain in West JAVA: Modelling using agent based simulation and reporting using the STRESS guidelines,"Fakhimi, M., D. Robertson, and T. Boness",2021.0,Workshop,Proceedings of the Operational Research Society Simulation Workshop,Empirical,No,https://doi.org/10.36819/SW21.032,Yes,,ABS,,Yes,Yes,Yes,Yes,Yes,Yes,Will be available in future,Netlogo,Supply chain management,Buying and selling decision rules of diary farmers,,Checklist,,,
155,155,Panel-towards conceptual modeling for hybrid simulation: Setting the scene,"Mustafee, N., K. H. G. Bae, S. Lazarova-Molnar, M. Rabe, C. Szabo, P. Haas, and Y. J. Son",2019.0,Conference,Winter Simulation Conference,Conceptual,No,,DP,,,,,,,,,,,,,,,,,,
156,156,Credible agent-based simulation an illusion or only a step away,"Onggo, Bhakti Stephan, Levent Yilmaz, Franziska Klügl, Takao Terano, and Charles M. Macal",2019.0,Conference,Winter Simulation Conference,Discussion,No,,DP,,,,,,,,,,,,,,,,,,
157,157,"Is Outperform Still Appropriate to Qualify the Simulation 
Results of Proposed Protocols for WSNs?","Aby, Affoua Therese, Stephane Pomportes, Marie-Francoise Servajean, and Michel Misson",2019.0,Journal,Journal of Communication,Discussion,No,https://www.researchgate.net/profile/Michel-Misson/publication/338260212_Is_Outperform_Still_Appropriate_to_Qualify_the_Simulation_Results_of_Proposed_Protocols_for_WSNs/links/5f884dd3458515b7cf823bc1/Is-Outperform-Still-Appropriate-to-Qualify-the-Simulation-Results-of-Proposed-Protocols-for-WSNs.pdf,No,,,,,,,,,,,,,,,,,,
158,158,A Framework for Operational excellence in Hospital Logistics,"Moons, Karen",2020.0,Thesis,KULeuven University,PhD Thesis,No,https://lirias.kuleuven.be/retrieve/580186,No,,,,,,,,,,,,,,,,,,
159,159,Model of the natural history of HPV-related cervical disease in Kenya,"Perez-Guzman, P. N.",2020.0,Journal,BMJ global health,Empirical,No,,DP,,,,,,,,,,,,,,,,,,
160,160,Evolution and Reproducibility of Simulation Modeling in Health Policy over Half a Century,"Jalali, Mohammad S",2020.0,Preprint,,Empirical,Yes,https://www.researchgate.net/profile/Mohammad-S-Jalali/publication/337033718_Evolution_and_Reproducibility_of_Simulation_Modeling_in_Health_Policy_over_Half_a_Century/links/5e98b095299bf13079a1bb88/Evolution-and-Reproducibility-of-Simulation-Modeling-in-Health-Policy-over-Half-a-Century.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9,No,,,,,,,,,,,,,,,,,,
161,161,Not in English,Not in English,2023.0,Thesis,Politechnika Wroclawska,PhD Thesis,No,https://wz.pwr.edu.pl/fcp/sGBUKOQtTKlQhbx08SlkTUQZDUWRuHQwFDBoIVURNWH5QBlhnRlUuWTISTnoYDxMe/221/public/main/habilitacje_i_profesury/2022/rozprawa_doktorska_maria_hajlasz_2023.pdf,Yes,,,,,,,,,,,,,,,,,,
162,162,"Effective Provision of Critical Care
Services","Shi, Dandan",2019.0,Thesis,University of Southampton,PhD Thesis,No,https://eprints.soton.ac.uk/435517/1/Final_Dandan_SHI_Thesis_digital_.pdf,Yes,Yes,DES,,Yes,Yes,Yes,Yes,Yes,No,No,Simul8,Healthcare,ICU,,,,,
163,163,Online Simulation for the Operational Management of Inpatient Beds,"Oakley, David",2019.0,Thesis,Lancaster University,PhD Thesis,No,https://www.proquest.com/docview/2471521753/fulltextPDF/DAC63838F760439DPQ/1?accountid=10792&sourcetype=Dissertations%20&%20Theses,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Micro Saint Sharp,Healthcare,Scheduling wards,,Yes,,,
164,164,A review of agent-based modeling in construction management: an analytical framework based on multiple objectives,"Liu, Wenyao, Qingfeng Meng, Hanhao Zhi, Zhen Li, and Xin Hu",2024.0,Journal,Journal of Civil Engineering and Management,LR,No,https://jest.vgtu.lt/index.php/JCEM/article/download/20949/12174,No,,,,,,,,,,,,,,,,,,
165,165,Charakterisierung von Punkt-und Intervallschätzern des gemittelt sequenziellen Populations-assoziierten Risikoanteils in der Epidemiologie kardiovaskulärer Erkrankungen,"Malsch, Carolin",2021.0,Thesis,Universität Würzburg,PhD Thesis,No,https://opus.bibliothek.uni-wuerzburg.de/files/23816/Carolin_Malsch_Dissertation.pdf,,,,,,,,,,,,,,,,,,,
166,166,Not in English,"Halme, Markus",2018.0,Preprint,,Inaccessible,Yes,,,,,,,,,,,,,,,,,,,,
167,167,A commentary on Lustick and Tetlock 2021,"Kunc, Martin",2021.0,Journal,Futures and Forseight science,Discussion,No,https://doi.org/10.1002/ffo2.80,No,,,,,,,,,,,,,,,,,,
168,168,A systematic review of whole disease models for informing healthcare resource allocation decisions,"Jin, Huajie, Paul Tappenden, Xiaoxiao Ling, Stewart Robinson, and Sarah Byford",2023.0,Journal,Plos one,LR,No,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0291366&type=printable,No,,,,,,,,,,,,,,,,,,
169,169,Discrete event simulation for emergency department modelling: A systematic review of validation methods,"Doudareva, Evgueniia, and Michael Carter",2022.0,Journal,Operations Research for Health Care,LR,No,https://www.sciencedirect.com/science/article/pii/S2211692322000029?casa_token=ETsA_nPn_bQAAAAA:3nZyNWqS8w_Ky4r8Hf_lmACPrvLjVxMNMp2zbgeGTushFpzR7mwjEX9ONGzKaBXx6KfS0tyfkJOn,No,,,,,,,,,,,,,,,,,,
170,170,Enabling same-day delivery using a drone resupply model with transshipment points,"Moshref-Javadi, Mohammad, Kristof P. Van Cauwenberghe, Brent A. McCunney, and Ahmad Hemmati.",2023.0,Journal,Computational Management Science,Empirical,No,,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,No,No,Simio,E-commerce,Logistics,,No but it has checklist,,,
171,171,A discrete-event simulation study for pre-hospital emergency systems,"Wang, Zilu, and Zhaolin Hu",2024.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2024.2385994,Yes,,ABS,,Yes,Yes,Yes,Yes,Yes,Yes,Upon request,Python,Healthcare,Pre-hospital emergency systems,,Yes,,,
172,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,173,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,174,,,,,,,,,,,,,,,,,,,,,,,,,,,
